Age,Source of Wealth,Self-Made Score,Philanthropy Score,Residence,Citizenship,Marital Status,Children,Education
74,LVMH,,,"Paris, France",France,Married,5,"Bachelor of Arts/Science, Ecole Polytechnique de Paris"
52,"Tesla, SpaceX, Self Made",8,1,"Austin, Texas",United States,Single,10,"Bachelor of Arts/Science, University of Pennsylvania"
59,"Amazon, Self Made",8,2,"Medina, Washington",United States,Engaged,4,"Bachelor of Arts/Science, Princeton University"
79,"Oracle, Self Made",9,1,"Lanai, Hawaii",United States,In Relationship,4,"Drop Out, University of Chicago; Drop Out, University of Illinois, Urbana-Champaign"
92,"Berkshire Hathaway, Self Made",8,5,"Omaha, Nebraska",United States,"Widowed, Remarried",3,"Master of Science, Columbia University; Bachelor of Arts/Science, University of Nebraska Lincoln"
67,"Microsoft, Self Made",8,5,"Medina, Washington",United States,Divorced,3,"Drop Out, Harvard University"
81,"Bloomberg LP, Self Made",8,4,"New York, New York",United States,In Relationship,2,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Johns Hopkins University"
83,"Telecom, Self Made",,,"Mexico City, Mexico",Mexico,Widowed,6,"Bachelor of Arts/Science, Universidad Nacional Autonoma de Mexico"
66,Diversified,,,"Mumbai, India",India,Married,3,"Drop Out, Stanford University; Bachelor of Science in Engineering, University of Mumbai"
67,"Microsoft, Self Made",6,2,"Hunts Point, Washington",United States,Married,3,"Bachelor of Arts/Science, Harvard University; Drop Out, Stanford University"
70,L'Oréal,,,"Paris, France",France,Married,2,
50,"Google, Self Made",8,1,"Palo Alto, California",United States,Married,1,"Master of Science, Stanford University; Bachelor of Arts/Science, University of Michigan"
87,"Zara, Self Made",,,"La Coruna, Spain",Spain,Married,3,
50,"Google, Self Made",9,2,"Los Altos, California",United States,Separated,3,"Master of Science, Stanford University; Bachelor of Arts/Science, University of Maryland, College Park"
68,"Beverages, pharmaceuticals, Self Made",,,"Hangzhou, China",China,,1,
39,"Facebook, Self Made",8,3,"Palo Alto, California",United States,Married,3,"Drop Out, Harvard University"
87,Koch Industries,5,2,"Wichita, Kansas",United States,Married,2,"Bachelor of Arts/Science, Massachusetts Institute of Technology; Master of Science, Massachusetts Institute of Technology"
61,Koch Industries,1,2,"New York, New York",United States,Widowed,3,"Bachelor of Arts/Science, University of Central Arkansas"
75,Walmart,2,1,"Bentonville, Arkansas",United States,Married,4,"Bachelor of Arts/Science, University of Arkansas"
78,Walmart,4,1,"Bentonville, Arkansas",United States,Married,3,"Doctor of Jurisprudence, Columbia University; Bachelor of Arts/Science, University of Arkansas"
73,Walmart,1,2,"Fort Worth, Texas",United States,Divorced,,"Bachelor of Arts/Science, Trinity University"
66,Media,,,"Toronto, Canada",Canada,Divorced,4,"Master of Arts, University of Cambridge"
58,"Dell Technologies, Self Made",8,2,"Austin, Texas",United States,Married,4,"Drop Out, The University of Texas at Austin"
61,"Infrastructure, commodities, Self Made",,,"Ahmedabad, India",India,Married,2,
85,"Nike, Self Made",8,3,"Hillsboro, Oregon",United States,Married,3,"Master of Business Administration, Stanford Graduate School of Business; Bachelor of Arts/Science, University of Oregon"
39,"TikTok, Self Made",,,"Beijing, China",China,,,"Bachelor of Engineering, Nankai University"
83,Retail,,,"Neckarsulm, Germany",Germany,Married,2,
87,"Luxury goods, Self Made",,,"Paris, France",France,Married,3,"Drop Out, High School"
86,Shipping,,,"Schindellegi, Switzerland",Germany,Married,,
58,"Nutella, chocolates",4,,"Brussels, Belgium",Italy,Married,2,
83,"Candy, pet food",2,,"The Plains, Virginia",United States,Divorced,3,"Bachelor of Arts/Science, Bryn Mawr College"
87,"Candy, pet food",2,,"Jackson, Wyoming",United States,Married,3,"Diploma, The Hotchkiss School; Bachelor of Arts/Science, Yale University"
95,"Diversified, Self Made",,,Hong Kong,Hong Kong,Widowed,2,"Drop Out, High School"
51,"Internet media, Self Made",,,"Shenzhen, China",China,Married,,"Bachelor of Arts/Science, Shenzhen University"
77,Casinos,2,2,"Las Vegas, Nevada",United States,Widowed,5,"Bachelor of Science, Hebrew University Jerusalem"
54,"Hedge funds, Self Made",8,1,"Miami, Florida",United States,Divorced,3,"Bachelor of Arts/Science, Harvard University"
31,Red Bull,,,"Salzburg, Austria",Austria,Single,,
54,"Batteries, Self Made",,,"Ningde, China",Hong Kong,,,"Doctorate, Chinese Academy of Social Sciences"
74,"Fashion retail, Self Made",,,"Tokyo, Japan",Japan,Married,2,"Bachelor of Arts/Science, Waseda University"
66,"Music, chemicals, Self Made",9,2,"London, United Kingdom",United States,Married,,"Master of Science, Columbia University; Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Moscow State University"
74,Chanel,,,"New York, New York",France,Married,3,
72,Chanel,,,"New York, New York",France,Married,2,
83,"Shipping, Self Made",,,"Geneva, Switzerland",Switzerland,Married,2,
78,"Shipping, Self Made",,,"Geneva, Switzerland",Switzerland,Married,2,
43,"E-commerce, Self Made",,,"Shanghai, China",China,,,"Master, University of Wisconsin Madison; Bachelor of Arts/Science, Zhejiang University"
88,"Fasteners, Self Made",,,"Kuenzelsau, Germany",Germany,Married,3,
95,"Real estate, Self Made",,,"Hong Kong, Hong Kong",Hong Kong,Divorced,5,
65,"Trading, investments, Self Made",8,1,"Haverford, Pennsylvania",United States,Married,4,"Bachelor of Science, SUNY Binghamton"
